invoice_no,invoice_date,customer_id,country,quantity,amount,total_sales,year,month,month_name
540477,2021-01-07 14:49:00,13233.0,United Kingdom,404,30424,12291296,2021,1,January
569695,2021-10-05 15:35:00,16843.0,United Kingdom,938,99388,93225944,2021,10,October
538308,2020-12-10 13:29:00,14107.0,United Kingdom,268,36324,9734832,2020,12,December
549054,2021-04-06 10:21:00,17719.0,United Kingdom,109,31219,3402871,2021,4,April
555626,2021-06-06 11:55:00,16103.0,United Kingdom,92,27080,2491360,2021,6,June
563921,2021-08-21 14:00:00,16407.0,United Kingdom,2,1590,3180,2021,8,August
563943,2021-08-22 10:04:00,13139.0,United Kingdom,268,54092,14496656,2021,8,August
575854,2021-11-11 12:20:00,14125.0,United Kingdom,486,111108,53998488,2021,11,November
552764,2021-05-11 11:34:00,17489.0,United Kingdom,232,20856,4838592,2021,5,May
571407,2021-10-17 12:16:00,13750.0,United Kingdom,85,33063,2810355,2021,10,October
548208,2021-03-29 17:12:00,14189.0,United Kingdom,224,31410,7035840,2021,3,March
556922,2021-06-15 13:56:00,12748.0,United Kingdom,5,1425,7125,2021,6,June
572076,2021-10-20 14:01:00,13761.0,United Kingdom,418,57894,24199692,2021,10,October
544189,2021-02-16 16:40:00,15867.0,United Kingdom,36,13300,478800,2021,2,February
562543,2021-08-05 15:45:00,13552.0,United Kingdom,216,46390,10020240,2021,8,August
573136,2021-10-27 17:00:00,12709.0,Germany,110,26868,2955480,2021,10,October
558261,2021-06-28 08:39:00,16945.0,United Kingdom,24,1008,24192,2021,6,June
581482,2021-12-09 09:08:00,17490.0,United Kingdom,228,48840,11135520,2021,12,December
559538,2021-07-10 12:25:00,16880.0,United Kingdom,135,26949,3638115,2021,7,July
548862,2021-04-04 13:47:00,17956.0,United Kingdom,1,1275,1275,2021,4,April
565569,2021-09-05 12:21:00,14111.0,United Kingdom,18,4830,86940,2021,9,September
556047,2021-06-08 12:57:00,12901.0,United Kingdom,90,27624,2486160,2021,6,June
548189,2021-03-29 15:15:00,16607.0,United Kingdom,163,14141,2304983,2021,3,March
557213,2021-06-17 12:16:00,15021.0,United Kingdom,119,21814,2595866,2021,6,June
571310,2021-10-17 10:17:00,13394.0,United Kingdom,463,37173,17211099,2021,10,October
542254,2021-01-26 16:41:00,14733.0,United Kingdom,133,51169,6805477,2021,1,January
548546,2021-03-31 19:20:00,16600.0,United Kingdom,186,11160,2075760,2021,3,March
558563,2021-06-30 13:43:00,14561.0,United Kingdom,192,34492,6622464,2021,6,June
546034,2021-03-09 09:44:00,14032.0,United Kingdom,291,30964,9010524,2021,3,March
557602,2021-06-21 11:57:00,14110.0,United Kingdom,156,37972,5923632,2021,6,June
544596,2021-02-21 17:35:00,16441.0,United Kingdom,110,21100,2321000,2021,2,February
553006,2021-05-12 16:45:00,15544.0,United Kingdom,393,56035,22021755,2021,5,May
542634,2021-01-31 10:42:00,15448.0,United Kingdom,232,49464,11475648,2021,1,January
540536,2021-01-09 14:21:00,17757.0,United Kingdom,93,14550,1353150,2021,1,January
536568,2020-12-01 15:28:00,16048.0,United Kingdom,12,504,6048,2020,12,December
545686,2021-03-06 12:09:00,18211.0,United Kingdom,56,13790,772240,2021,3,March
553861,2021-05-19 13:58:00,13591.0,United Kingdom,135,31403,4239405,2021,5,May
567370,2021-09-20 09:13:00,14236.0,United Kingdom,272,30156,8202432,2021,9,September
560034,2021-07-14 13:35:00,13933.0,United Kingdom,113,30099,3401187,2021,7,July
547419,2021-03-23 10:27:00,15061.0,United Kingdom,1135,164958,187227330,2021,3,March
565680,2021-09-06 10:27:00,14560.0,United Kingdom,240,10080,2419200,2021,9,September
561244,2021-07-26 11:24:00,13865.0,United Kingdom,54,10082,544428,2021,7,July
542155,2021-01-26 10:51:00,15777.0,United Kingdom,112,28560,3198720,2021,1,January
572023,2021-10-20 11:03:00,17764.0,United Kingdom,247,55685,13754195,2021,10,October
577749,2021-11-21 14:26:00,16242.0,United Kingdom,299,53420,15972580,2021,11,November
550901,2021-04-21 12:12:00,13389.0,United Kingdom,115,25789,2965735,2021,4,April
555546,2021-06-05 13:09:00,17735.0,United Kingdom,118,22830,2693940,2021,6,June
561900,2021-07-31 15:31:00,16655.0,United Kingdom,523,63819,33377337,2021,7,July
547963,2021-03-28 15:42:00,13037.0,United Kingdom,158,25042,3956636,2021,3,March
575968,2021-11-13 12:47:00,14882.0,United Kingdom,92,34180,3144560,2021,11,November
571745,2021-10-19 10:48:00,14911.0,EIRE,711,158875,112960125,2021,10,October
543115,2021-02-03 13:27:00,14606.0,United Kingdom,72,12075,869400,2021,2,February
552947,2021-05-12 11:57:00,16943.0,United Kingdom,20,17210,344200,2021,5,May
550002,2021-04-14 09:30:00,12709.0,Germany,41,6800,278800,2021,4,April
569539,2021-10-04 15:58:00,18102.0,United Kingdom,112,55776,6246912,2021,10,October
545812,2021-03-07 12:26:00,14214.0,United Kingdom,313,63865,19989745,2021,3,March
569740,2021-10-06 10:52:00,15769.0,United Kingdom,1600,292400,467840000,2021,10,October
564648,2021-08-26 14:04:00,15641.0,United Kingdom,466,58182,27112812,2021,8,August
551859,2021-05-04 15:37:00,14336.0,United Kingdom,301,23003,6923903,2021,5,May
538070,2020-12-09 14:08:00,16519.0,United Kingdom,24,10370,248880,2020,12,December
576848,2021-11-16 15:38:00,15051.0,United Kingdom,124,24568,3046432,2021,11,November
546442,2021-03-14 10:38:00,15159.0,United Kingdom,54,20730,1119420,2021,3,March
560422,2021-07-18 15:14:00,16746.0,United Kingdom,162,30018,4862916,2021,7,July
559948,2021-07-14 10:41:00,12653.0,Israel,633,143075,90566475,2021,7,July
539688,2020-12-21 11:00:00,12678.0,France,1,15000,15000,2020,12,December
548916,2021-04-05 10:07:00,14849.0,United Kingdom,377,42234,15922218,2021,4,April
565851,2021-09-07 13:06:00,14911.0,EIRE,332,63729,21158028,2021,9,September
538909,2020-12-15 10:48:00,13491.0,United Kingdom,18,9750,175500,2020,12,December
553475,2021-05-17 11:31:00,18102.0,United Kingdom,306,86640,26511840,2021,5,May
536523,2020-12-01 12:50:00,12868.0,United Kingdom,112,20330,2276960,2020,12,December
547571,2021-03-24 09:52:00,16265.0,United Kingdom,182,43230,7867860,2021,3,March
557871,2021-06-23 12:41:00,13458.0,United Kingdom,130,30078,3910140,2021,6,June
553017,2021-05-12 19:01:00,12757.0,Portugal,311,60283,18748013,2021,5,May
549471,2021-04-08 14:39:00,17389.0,United Kingdom,72,7350,529200,2021,4,April
573924,2021-11-02 09:45:00,15065.0,United Kingdom,202,29938,6047476,2021,11,November
576641,2021-11-16 09:59:00,17549.0,United Kingdom,150,12066,1809900,2021,11,November
574746,2021-11-07 08:30:00,16523.0,United Kingdom,198,67680,13400640,2021,11,November
546019,2021-03-08 17:25:00,14507.0,United Kingdom,50,3949,197450,2021,3,March
556809,2021-06-14 16:48:00,17179.0,United Kingdom,82,22348,1832536,2021,6,June
567768,2021-09-22 11:17:00,15950.0,United Kingdom,123,25584,3146832,2021,9,September
574661,2021-11-06 11:56:00,13447.0,United Kingdom,166,43030,7142980,2021,11,November
549838,2021-04-12 13:39:00,16705.0,United Kingdom,48,9600,460800,2021,4,April
547519,2021-03-23 14:46:00,16308.0,United Kingdom,1000,32000,32000000,2021,3,March
577080,2021-11-17 15:24:00,17001.0,United Kingdom,172,35760,6150720,2021,11,November
560048,2021-07-14 15:02:00,13515.0,United Kingdom,127,13216,1678432,2021,7,July
568709,2021-09-28 15:42:00,15036.0,United Kingdom,176,21986,3869536,2021,9,September
578171,2021-11-23 11:36:00,17685.0,United Kingdom,207,39240,8122680,2021,11,November
576400,2021-11-15 10:51:00,13632.0,United Kingdom,288,45214,13021632,2021,11,November
542083,2021-01-25 12:26:00,18008.0,United Kingdom,355,13081,4643755,2021,1,January
579759,2021-11-30 15:02:00,15251.0,United Kingdom,244,36388,8878672,2021,11,November
537628,2020-12-07 15:02:00,16293.0,United Kingdom,189,37875,7158375,2020,12,December
542096,2021-01-25 12:52:00,17236.0,United Kingdom,141,19933,2810553,2021,1,January
576909,2021-11-17 09:49:00,12471.0,Germany,519,107212,55643028,2021,11,November
560105,2021-07-14 19:23:00,16794.0,United Kingdom,263,22213,5842019,2021,7,July
541709,2021-01-21 11:09:00,17504.0,United Kingdom,233,44115,10278795,2021,1,January
578272,2021-11-23 13:40:00,17463.0,United Kingdom,126,19831,2498706,2021,11,November
555363,2021-06-02 14:15:00,14453.0,United Kingdom,49,11993,587657,2021,6,June
566033,2021-09-08 13:07:00,16031.0,United Kingdom,204,24331,4963524,2021,9,September
562155,2021-08-03 11:24:00,17940.0,United Kingdom,648,16200,10497600,2021,8,August
561047,2021-07-24 12:46:00,16948.0,United Kingdom,1368,19448,26604864,2021,7,July
568527,2021-09-27 13:21:00,13178.0,United Kingdom,539,76500,41233500,2021,9,September
563382,2021-08-16 10:50:00,18221.0,United Kingdom,145,16985,2462825,2021,8,August
549196,2021-04-07 10:33:00,14911.0,EIRE,271,35623,9653833,2021,4,April
577599,2021-11-21 08:26:00,15738.0,United Kingdom,202,31690,6401380,2021,11,November
569567,2021-10-05 09:56:00,16059.0,United Kingdom,40,10530,421200,2021,10,October
576347,2021-11-14 15:38:00,13268.0,United Kingdom,2,820,1640,2021,11,November
544569,2021-02-21 12:58:00,16980.0,United Kingdom,418,73236,30612648,2021,2,February
542865,2021-02-01 12:08:00,12929.0,United Kingdom,37,11785,436045,2021,2,February
562789,2021-08-09 13:50:00,14646.0,Netherlands,7807,1234121,9634782647,2021,8,August
567798,2021-09-22 12:00:00,13089.0,United Kingdom,331,88663,29347453,2021,9,September
565577,2021-09-05 12:24:00,14177.0,United Kingdom,2,750,1500,2021,9,September
550915,2021-04-21 13:30:00,13263.0,United Kingdom,69,13359,921771,2021,4,April
541293,2021-01-17 13:39:00,15311.0,United Kingdom,145,39457,5721265,2021,1,January
578688,2021-11-25 09:27:00,16719.0,United Kingdom,235,29267,6877745,2021,11,November
560896,2021-07-21 17:26:00,15623.0,United Kingdom,125,30103,3762875,2021,7,July
561711,2021-07-29 11:45:00,13414.0,United Kingdom,368,53280,19607040,2021,7,July
575701,2021-11-10 16:59:00,13396.0,United Kingdom,461,97372,44888492,2021,11,November
547886,2021-03-28 09:21:00,13652.0,United Kingdom,178,32944,5864032,2021,3,March
562467,2021-08-05 11:50:00,13513.0,United Kingdom,109,20510,2235590,2021,8,August
563927,2021-08-21 15:01:00,14013.0,United Kingdom,258,19922,5139876,2021,8,August
581471,2021-12-08 19:29:00,14702.0,United Kingdom,76,19929,1514604,2021,12,December
573230,2021-10-28 11:55:00,13199.0,United Kingdom,48,8592,412416,2021,10,October
568656,2021-09-28 12:21:00,14911.0,EIRE,70,14162,991340,2021,9,September
554502,2021-05-24 14:47:00,14289.0,United Kingdom,26,12468,324168,2021,5,May
581017,2021-12-07 10:06:00,14910.0,United Kingdom,80,11080,886400,2021,12,December
546428,2021-03-13 14:55:00,12681.0,France,185,34329,6350865,2021,3,March
571090,2021-10-13 15:28:00,15271.0,United Kingdom,34,7950,270300,2021,10,October
540856,2021-01-12 10:16:00,16655.0,United Kingdom,373,81225,30296925,2021,1,January
568242,2021-09-26 12:11:00,14931.0,Channel Islands,181,26165,4735865,2021,9,September
550713,2021-04-20 11:11:00,15159.0,United Kingdom,1,1250,1250,2021,4,April
542100,2021-01-25 13:15:00,15339.0,United Kingdom,159,25790,4100610,2021,1,January
549833,2021-04-12 13:19:00,13458.0,United Kingdom,666,101514,67608324,2021,4,April
571918,2021-10-19 16:05:00,17350.0,United Kingdom,240,15624,3749760,2021,10,October
537759,2020-12-08 11:42:00,13126.0,United Kingdom,108,20364,2199312,2020,12,December
555940,2021-06-08 10:10:00,14191.0,United Kingdom,98,35760,3504480,2021,6,June
560834,2021-07-21 12:15:00,16523.0,United Kingdom,204,48440,9881760,2021,7,July
554366,2021-05-24 10:24:00,17450.0,United Kingdom,3084,946848,2920079232,2021,5,May
566520,2021-09-13 11:26:00,17757.0,United Kingdom,61,16119,983259,2021,9,September
537471,2020-12-07 10:51:00,14344.0,United Kingdom,3,1785,5355,2020,12,December
562034,2021-08-02 09:14:00,12449.0,Belgium,267,77795,20771265,2021,8,August
568332,2021-09-26 14:30:00,13434.0,United Kingdom,240,46140,11073600,2021,9,September
537456,2020-12-07 09:43:00,17450.0,United Kingdom,780,198924,155160720,2020,12,December
569693,2021-10-05 15:18:00,17837.0,United Kingdom,105,25095,2634975,2021,10,October
573131,2021-10-27 16:44:00,15622.0,United Kingdom,106,38195,4048670,2021,10,October
540099,2021-01-04 16:41:00,15808.0,United Kingdom,322,73392,23632224,2021,1,January
546220,2021-03-10 12:16:00,16745.0,United Kingdom,584,54110,31600240,2021,3,March
560252,2021-07-17 12:35:00,13468.0,United Kingdom,61,11587,706807,2021,7,July
569653,2021-10-05 12:52:00,12451.0,Switzerland,1650,253956,419027400,2021,10,October
575475,2021-11-09 16:03:00,17702.0,United Kingdom,302,48560,14665120,2021,11,November
575703,2021-11-10 16:59:00,13767.0,United Kingdom,902,173530,156524060,2021,11,November
556279,2021-06-09 19:55:00,14562.0,United Kingdom,59,21539,1270801,2021,6,June
578951,2021-11-27 14:40:00,15514.0,United Kingdom,277,49923,13828671,2021,11,November
578947,2021-11-27 13:49:00,14547.0,United Kingdom,438,53458,23414604,2021,11,November
570129,2021-10-07 13:34:00,12885.0,United Kingdom,293,51947,15220471,2021,10,October
566607,2021-09-13 16:40:00,13032.0,United Kingdom,175,49630,8685250,2021,9,September
580887,2021-12-06 12:26:00,13755.0,United Kingdom,80,15690,1255200,2021,12,December
552523,2021-05-09 16:38:00,15797.0,United Kingdom,200,33000,6600000,2021,5,May
541263,2021-01-16 16:10:00,16843.0,United Kingdom,534,75906,40533804,2021,1,January
542796,2021-02-01 11:07:00,17356.0,United Kingdom,166,17822,2958452,2021,2,February
566776,2021-09-15 09:53:00,14911.0,EIRE,226,36837,8325162,2021,9,September
544170,2021-02-16 14:01:00,16148.0,United Kingdom,72,7632,549504,2021,2,February
539469,2020-12-19 13:59:00,17841.0,United Kingdom,152,28352,4309504,2020,12,December
549670,2021-04-11 12:45:00,16168.0,United Kingdom,88,14120,1242560,2021,4,April
573902,2021-11-01 14:51:00,17428.0,United Kingdom,48,31118,1493664,2021,11,November
544826,2021-02-24 09:36:00,14513.0,United Kingdom,7,1875,13125,2021,2,February
541086,2021-01-13 12:32:00,16503.0,United Kingdom,118,35370,4173660,2021,1,January
543824,2021-02-14 09:31:00,14631.0,United Kingdom,160,30950,4952000,2021,2,February
552464,2021-05-09 15:12:00,12726.0,France,333,22340,7439220,2021,5,May
551515,2021-05-01 10:51:00,15606.0,United Kingdom,104,32088,3337152,2021,5,May
540160,2021-01-05 11:50:00,15769.0,United Kingdom,1032,257448,265686336,2021,1,January
565631,2021-09-05 15:49:00,14680.0,United Kingdom,568,122616,69645888,2021,9,September
580281,2021-12-02 13:15:00,12704.0,Finland,81,19876,1609956,2021,12,December
559157,2021-07-06 15:53:00,13999.0,United Kingdom,167,30703,5127401,2021,7,July
566257,2021-09-11 12:34:00,13324.0,United Kingdom,680,85560,58180800,2021,9,September
554286,2021-05-23 14:16:00,17686.0,United Kingdom,97,38696,3753512,2021,5,May
546741,2021-03-16 12:22:00,13261.0,United Kingdom,20,9900,198000,2021,3,March
546029,2021-03-09 08:59:00,15206.0,United Kingdom,6,1770,10620,2021,3,March
543278,2021-02-06 14:43:00,16745.0,United Kingdom,406,20382,8275092,2021,2,February
540630,2021-01-10 11:59:00,17849.0,United Kingdom,19,21775,413725,2021,1,January
547563,2021-03-24 08:56:00,15651.0,United Kingdom,238,22732,5410216,2021,3,March
554105,2021-05-22 14:04:00,14711.0,United Kingdom,111,21306,2364966,2021,5,May
539442,2020-12-17 15:39:00,16558.0,United Kingdom,127,31115,3951605,2020,12,December
563952,2021-08-22 10:44:00,15572.0,United Kingdom,267,67925,18135975,2021,8,August
545162,2021-02-28 13:35:00,16187.0,United Kingdom,247,48090,11878230,2021,2,February
564966,2021-08-31 15:08:00,17677.0,United Kingdom,24,3480,83520,2021,8,August
578354,2021-11-24 10:12:00,17139.0,United Kingdom,232,46852,10869664,2021,11,November
572926,2021-10-27 09:23:00,15659.0,United Kingdom,111,30645,3401595,2021,10,October
570292,2021-10-10 11:59:00,13418.0,United Kingdom,124,37068,4596432,2021,10,October
550972,2021-04-21 17:05:00,14031.0,United Kingdom,46,9963,458298,2021,4,April
541850,2021-01-23 13:58:00,14224.0,United Kingdom,99,24430,2418570,2021,1,January
573124,2021-10-27 16:24:00,13654.0,United Kingdom,24,9960,239040,2021,10,October
571080,2021-10-13 15:19:00,13719.0,United Kingdom,77,25049,1928773,2021,10,October
565420,2021-09-04 12:09:00,16326.0,United Kingdom,85,31305,2660925,2021,9,September
554633,2021-05-25 11:44:00,14287.0,United Kingdom,144,1728,248832,2021,5,May
543464,2021-02-08 14:15:00,16779.0,United Kingdom,308,36432,11221056,2021,2,February
553655,2021-05-18 11:14:00,16775.0,United Kingdom,31,11470,355570,2021,5,May
553559,2021-05-17 17:12:00,14931.0,Channel Islands,1,29300,29300,2021,5,May
551391,2021-04-28 12:06:00,15514.0,United Kingdom,152,38520,5855040,2021,4,April
544391,2021-02-18 11:53:00,15755.0,United Kingdom,198,31468,6230664,2021,2,February
575039,2021-11-08 11:53:00,15005.0,United Kingdom,245,32722,8016890,2021,11,November
544098,2021-02-16 10:04:00,16019.0,United Kingdom,396,112935,44722260,2021,2,February
579495,2021-11-29 15:34:00,13576.0,United Kingdom,180,32748,5894640,2021,11,November
569550,2021-10-04 17:32:00,15955.0,United Kingdom,10,850,8500,2021,10,October
556827,2021-06-15 10:29:00,15134.0,United Kingdom,101,17163,1733463,2021,6,June
541278,2021-01-17 11:53:00,14135.0,United Kingdom,52,16740,870480,2021,1,January
553192,2021-05-15 13:27:00,15333.0,United Kingdom,344,102856,35382464,2021,5,May
548739,2021-04-04 11:28:00,15493.0,United Kingdom,106,41249,4372394,2021,4,April
562949,2021-08-11 09:47:00,14346.0,United Kingdom,501,75914,38032914,2021,8,August
542806,2021-02-01 11:20:00,12836.0,United Kingdom,254,79899,20294346,2021,2,February
573757,2021-11-01 09:46:00,17166.0,United Kingdom,21,7875,165375,2021,11,November
542925,2021-02-02 09:39:00,14457.0,United Kingdom,88,11364,1000032,2021,2,February
545158,2021-02-28 13:28:00,15874.0,United Kingdom,52,58435,3038620,2021,2,February
549826,2021-04-12 12:53:00,15044.0,United Kingdom,114,44050,5021700,2021,4,April
573830,2021-11-01 11:35:00,16960.0,United Kingdom,76,14896,1132096,2021,11,November
548196,2021-03-29 15:44:00,16011.0,United Kingdom,63,11855,746865,2021,3,March
575331,2021-11-09 13:52:00,13209.0,United Kingdom,593,104966,62244838,2021,11,November
566491,2021-09-13 10:25:00,14060.0,United Kingdom,216,29424,6355584,2021,9,September
572670,2021-10-25 13:14:00,13685.0,United Kingdom,1524,59436,90580464,2021,10,October
554356,2021-05-24 09:25:00,12670.0,France,210,39334,8260140,2021,5,May
566062,2021-09-08 15:39:00,14522.0,United Kingdom,251,48207,12099957,2021,9,September
551293,2021-04-27 14:28:00,14298.0,United Kingdom,618,42864,26489952,2021,4,April
574747,2021-11-07 08:34:00,15618.0,United Kingdom,239,35781,8551659,2021,11,November
555846,2021-06-07 13:21:00,14180.0,United Kingdom,21,14915,313215,2021,6,June
540455,2021-01-07 12:07:00,12583.0,France,491,73016,35850856,2021,1,January
562721,2021-08-08 16:31:00,15985.0,United Kingdom,208,24284,5051072,2021,8,August
545021,2021-02-25 14:11:00,17663.0,United Kingdom,179,37139,6647881,2021,2,February
555367,2021-06-02 14:28:00,17900.0,United Kingdom,49,7980,391020,2021,6,June
569907,2021-10-06 16:41:00,12569.0,Germany,13,7740,100620,2021,10,October
559819,2021-07-12 16:58:00,12682.0,France,117,25670,3003390,2021,7,July
575579,2021-11-10 11:49:00,13081.0,United Kingdom,144,7200,1036800,2021,11,November
578665,2021-11-24 17:02:00,16570.0,United Kingdom,208,42708,8883264,2021,11,November
547796,2021-03-25 12:34:00,14646.0,Netherlands,731,140786,102914566,2021,3,March
543032,2021-02-02 15:39:00,12990.0,United Kingdom,50,9750,487500,2021,2,February
562166,2021-08-03 12:10:00,13209.0,United Kingdom,524,59526,31191624,2021,8,August
556235,2021-06-09 15:29:00,12778.0,Netherlands,85,8400,714000,2021,6,June
571741,2021-10-19 10:36:00,15610.0,United Kingdom,66,11246,742236,2021,10,October
537354,2020-12-06 12:23:00,12748.0,United Kingdom,85,13307,1131095,2020,12,December
560576,2021-07-19 14:59:00,17287.0,United Kingdom,110,20207,2222770,2021,7,July
581253,2021-12-08 11:15:00,16891.0,United Kingdom,28,11595,324660,2021,12,December
572913,2021-10-26 16:21:00,15993.0,United Kingdom,678,86389,58571742,2021,10,October
547324,2021-03-22 11:27:00,13014.0,United Kingdom,108,31780,3432240,2021,3,March
579489,2021-11-29 15:22:00,16775.0,United Kingdom,27,12915,348705,2021,11,November
565480,2021-09-05 11:27:00,18273.0,United Kingdom,40,10200,408000,2021,9,September
551558,2021-05-03 10:41:00,17841.0,United Kingdom,152,32771,4981192,2021,5,May
536614,2020-12-02 09:44:00,17850.0,United Kingdom,12,2220,26640,2020,12,December
559525,2021-07-10 10:30:00,16923.0,United Kingdom,214,39152,8378528,2021,7,July
560714,2021-07-20 13:10:00,14456.0,United Kingdom,20,2625,52500,2021,7,July
548746,2021-04-04 12:11:00,12471.0,Germany,40,5000,200000,2021,4,April
566248,2021-09-11 12:06:00,13272.0,United Kingdom,72,14096,1014912,2021,9,September
565475,2021-09-05 10:47:00,14156.0,EIRE,5034,748006,3765462204,2021,9,September
565424,2021-09-04 12:24:00,15215.0,United Kingdom,92,30004,2760368,2021,9,September
540350,2021-01-06 14:14:00,18283.0,United Kingdom,61,10845,661545,2021,1,January
553612,2021-05-18 10:48:00,17556.0,United Kingdom,101,15790,1594790,2021,5,May
540274,2021-01-06 11:59:00,14618.0,United Kingdom,92,21180,1948560,2021,1,January
550996,2021-04-26 08:57:00,16681.0,United Kingdom,260,31492,8187920,2021,4,April
581580,2021-12-09 12:20:00,12748.0,United Kingdom,82,9411,771702,2021,12,December
574149,2021-11-03 11:29:00,13709.0,United Kingdom,293,77490,22704570,2021,11,November
544408,2021-02-18 13:29:00,16726.0,United Kingdom,106,6100,646600,2021,2,February
540273,2021-01-06 11:57:00,17368.0,United Kingdom,711,56315,40039965,2021,1,January
578993,2021-11-27 15:38:00,15987.0,United Kingdom,182,24486,4456452,2021,11,November
581395,2021-12-08 13:18:00,16892.0,United Kingdom,35,12312,430920,2021,12,December
543279,2021-02-06 14:46:00,17105.0,United Kingdom,359,31940,11466460,2021,2,February
